1 A 8 15 F
2 A 1 7 F
1 A 11 0 F
2 A 14 18 F
1 A 17 12 F
2 A 9 15 F
1 A 1 13 F
2 A 4 16 F
1 A 4 14 F
2 A 14 11 F
1 A 16 15 F
2 A 15 12 F
1 A 3 17 F
2 A 15 0 F
1 A 4 9 F
2 A 6 5 F
1 A 5 18 F
2 A 2 13 F
1 A 3 10 F
2 A 10 18 F
1 A 6 14 F
2 A 1 10 F
1 A 17 15 F
2 A 4 10 F
1 A 19 2 F
2 A 10 8 F
1 A 0 11 F
2 A 6 9 F
1 A 3 9 F
2 A 3 16 F
1 A 5 18 F
2 A 4 15 F
1 A 3 13 F
2 A 16 1 F
1 A 15 15 F
2 A 6 0 F
1 A 10 14 F
2 A 8 15 F
1 A 2 4 F
2 A 14 9 F
1 A 17 10 F
2 A 16 18 F
1 A 17 15 F
2 A 15 15 F
1 A 10 4 F
2 A 11 14 F
1 A 11 9 F
2 A 1 1 F
1 A 19 17 F
2 A 13 0 F
1 A 11 11 F
2 A 16 9 F
1 A 17 8 F
2 A 18 7 F
1 A 14 3 F
2 A 19 1 F
1 A 5 6 F
2 A 12 2 F
1 A 18 18 F
2 A 10 11 F
1 A 4 18 F
2 A 5 2 F
1 A 10 4 F
2 A 9 18 F
1 A 11 15 F
2 A 5 0 F
1 A 0 3 F
2 A 5 17 F
1 A 11 19 F
2 A 4 19 F
1 A 3 18 F
2 A 8 13 F
1 A 1 3 F
2 A 18 10 F
1 A 17 17 F
2 A 5 15 F
1 A 7 17 F
2 A 10 6 F
1 A 4 18 F
2 A 3 9 F
1 A 12 10 T
2 A 8 0 F
1 A 12 9 F
2 A 11 12 F
1 A 13 9 T
2 A 7 12 F
1 A 11 9 F
2 A 0 13 F
1 A 12 8 F
2 A 1 18 F
1 A 12 8 F
2 A 12 6 F
1 A 14 8 F
2 A 13 2 F
1 A 13 10 F
2 A 5 10 F
1 A 12 8 F
2 A 16 4 F
1 A 14 10 F
2 A 17 13 F
1 A 12 11 F
2 A 13 8 F
1 A 13 11 F
2 A 15 9 F
1 A 13 10 F
2 A 2 4 F
1 A 12 10 F
2 A 19 11 F
1 A 12 11 F
2 A 16 8 F
1 A 11 11 F
2 A 12 11 F
1 A 14 8 F
2 A 19 0 F
1 A 11 10 F
2 A 12 4 F
1 A 11 10 F
2 A 5 3 F
1 A 13 9 F
2 A 0 15 F
1 A 13 9 F
2 A 15 6 F
1 A 13 11 F
2 A 9 6 F
1 A 12 8 F
2 A 7 13 F
1 A 11 10 F
2 A 11 18 F
1 A 14 10 F
2 A 7 8 F
1 A 12 11 F
2 A 12 18 F
1 A 12 9 F
2 A 15 14 F
1 A 11 11 F
2 A 9 5 F
1 A 12 9 F
2 A 15 7 F
1 A 12 9 F
2 A 8 4 F
1 A 14 10 F
2 A 13 15 F
1 A 14 9 F
2 A 4 2 F
1 A 13 11 F
2 A 19 14 F
1 A 12 9 F
2 A 3 14 F
1 A 12 10 F
2 A 17 5 F
1 A 14 9 F
2 A 0 17 F
1 A 11 9 F
2 A 8 14 F
1 A 11 11 F
2 A 8 17 F
1 A 12 11 F
2 A 2 0 F
1 A 14 10 F
2 A 11 2 F
1 A 11 11 F
2 A 3 11 F
1 A 13 9 F
2 A 13 1 F
1 A 11 9 F
2 A 6 18 F
1 A 13 8 T
